;CAR42;(*) Desmontaje/montaje de tapetas a una y/o dos caras puerta de paso solo medidas especiales;;36,00;
;CAR43;(*) Desmontaje/montaje de tapetas a una y/o dos caras puerta de paso solo medidas especiales ud adicional;;30,00;
;CAR44;(*) Desmontaje/montaje de tapetas y batientes puerta de paso;;85,00;
;CAR45;(*) Desmontaje/montaje de tapetas y batientes puerta de paso ud adicional;;75,00;
;CAR46;(*) Desmontaje, suministro y colocacion  mueble alto/bajo solo medidas especiales ( NO incluye material);;30,00;
;CAR47;(*) Desmontaje, suministro y colocacion  mueble alto/bajo rinconero solo medidas especiales ( NO incluye material);;45,00;
;CAR48;(*) Material mueble alto/bajo solo medidas especiales. Imprescindible indicar medidas y aportar albarán.;;;
Parquet;;;;
;PAR1;Mano de Obra Oficial;;20,00;
;PAR2;Mano de Obra Ayudante;;16,00;
;PAR3;Suministro y colocación de pletina paso de puerta;;6,60;
;PAR4;Servicio minimo sustitución de zócalo de cualquier calidad (Tira de 2.40 ml);;39,60;
;PAR5;Rodapié aglomerado incluyendo desmontaje y montaje (metro adicional);;5,28;
;PAR6;Rodapié macizo 7 cm. incluyendo montaje y desmontaje (metro adicional);;7,92;
;PAR7;Rodapié macizo 10 cm. incluyendo desmontaje y montaje (metro adicional);;10,56;
;PAR8;Suministro y colocación de tarima flotante sintética calidad media-baja;;33,00;
;PAR9;Suminsitro y colocación de tarima flotante natural calidad media-alta;;55,44;
;PAR10;Colocación de espumilla asilante bajo parket;;3,96;
;PAR11;Cepillado de puerta de paso, incluido el barnizado en el canto;;26,40;
;PAR12;Suplemento por trabajos de lacado o fabricación en taller de zocalo especial;;3,96;
;PAR13;Lijado y barnizado 3 capas  - servicio mínimo hasta 15 m2;;189,09;
;PAR14;Lijado y barnizado 3 capas - m2 adicional;;12,43;
;PAR15;Lijado y barnizado 3 capas Poliuretano  - servicio mínimo hasta 15 m2;;137,50;
;PAR16;Lijado y barnizado 3 capas Poliuretano - m2 adicional;;8,69;
;PAR17;Material / Trabajos no baremados;;;
